iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.8494, -1.83883, -0.16096, 0.450779, 5.38849 
2, 0.0001, 0.162918, 76.8304, -1.83883, -0.16096, 0.450779, 1.63543 
3, 0.00015, 0.0471109, 77.4317, -2.47382, 0.145448, 0.024581, 1.64657 
4, 0.0002, 0.0523361, 79.3955, -2.47382, 0.145448, 0.024581, 1.4735 
5, 0.00025, 0.0438517, 79.974, -2.47382, 0.145448, 0.024581, 1.24143 
6, 0.0003, 0.0376746, 80.1256, -2.47382, 0.145448, 0.024581, 1.14136 
7, 0.00035, 0.0352852, 79.9482, -2.47382, 0.145448, 0.024581, 1.08508 
8, 0.0004, 0.0281867, 80.0995, -2.47382, 0.145448, 0.024581, 1.05516 
9, 0.00045, 0.0224563, 79.9149, -2.47382, 0.145448, 0.024581, 1.04057 
10, 0.0005, 0.017311, 80.0795, -2.47382, 0.145448, 0.024581, 1.03843 
11, 0.00055, 0.00807542, 79.8938, -2.47382, 0.145448, 0.024581, 1.04491 
12, 0.0006, 0.0162454, 80.0749, -2.47382, 0.145448, 0.024581, 1.05857 
13, 0.00065, 0.0196798, 79.8836, -2.47382, 0.145448, 0.024581, 1.07574 
