iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
1, 5e-05, 4.11878e-07, 75.8494, -1.83883, -0.16096, 0.450779, 5.38849 
2, 0.0001, 0.162918, 76.8304, -1.83883, -0.16096, 0.450779, 1.63543 
3, 0.00015, 0.0293642, 77.366, -2.47382, 0.145448, 0.024581, 1.64662 
4, 0.0002, 0.0513938, 79.4275, -2.47382, 0.145448, 0.024581, 1.47342 
5, 0.00025, 0.0252679, 80.0781, -2.47382, 0.145448, 0.024581, 1.24111 
6, 0.0003, 0.0391588, 80.284, -2.47382, 0.145448, 0.024581, 1.14128 
7, 0.00035, 0.0349868, 80.3184, -2.47382, 0.145448, 0.024581, 1.08555 
8, 0.0004, 0.026566, 80.3506, -2.47382, 0.145448, 0.024581, 1.05542 
9, 0.00045, 0.0241827, 80.3181, -2.47382, 0.145448, 0.024581, 1.04198 
10, 0.0005, 0.0230871, 80.3721, -2.47382, 0.145448, 0.024581, 1.04112 
